date,region,country,category,subcategory,segment,quantity,unit_price,revenue,cost,profit,profit_margin
2022-08-17,North America,Mexico,Office Supplies,Pens,Consumer,2,370.87,741.74,497.47,244.27,0.3293
2022-06-28,Latin America,Brazil,Electronics,Phones,Consumer,2,257.62,515.24,211.56,303.68,0.5894
2023-02-12,Latin America,Argentina,Clothing,Outerwear,Consumer,2,352.09,704.18,377.51,326.67,0.4639
2022-11-15,Europe,France,Electronics,Phones,Corporate,1,185.9,185.9,99.94,85.96,0.4624
2023-06-26,North America,Mexico,Clothing,Shirts,Corporate,1,280.5,280.5,205.26,75.24,0.2682
2024-01-11,Europe,United Kingdom,Electronics,Computers,Corporate,1,429.11,429.11,320.37,108.74,0.2534
2024-02-18,Asia Pacific,India,Office Supplies,Pens,Corporate,3,112.66,337.98,171.29,166.69,0.4932
2022-05-27,Europe,Italy,Furniture,Tables,Corporate,4,142.27,569.08,438.28,130.8,0.2298
2023-03-26,Asia Pacific,China,Furniture,Chairs,Corporate,4,141.19,564.76,273.57,291.19,0.5156
2023-10-07,Europe,Spain,Clothing,Shoes,Consumer,3,78.42,235.26,164.21,71.05,0.302
2023-06-23,Latin America,Colombia,Office Supplies,Pens,Consumer,5,251.82,1259.1,884.28,374.82,0.2977
2022-08-13,Europe,Germany,Clothing,Shirts,Corporate,4,301.99,1207.96,709.34,498.62,0.4128
2023-05-30,North America,Mexico,Electronics,Audio,Home Office,3,64.66,193.98,111.33,82.65,0.4261
2024-07-18,North America,Mexico,Office Supplies,Pens,Home Office,1,436.55,436.55,226.73,209.82,0.4806
2024-11-05,Europe,Germany,Office Supplies,Pens,Home Office,5,460.06,2300.3,1471.22,829.08,0.3604
2024-09-27,North America,United States,Office Supplies,Binders,Consumer,1,128.03,128.03,80.27,47.76,0.373
2022-06-11,North America,Mexico,Clothing,Shirts,Home Office,2,72.91,145.82,86.05,59.77,0.4099
2022-12-05,Asia Pacific,South Korea,Clothing,Pants,Home Office,2,359.34,718.68,402.17,316.51,0.4404
2024-02-04,Latin America,Colombia,Electronics,Computers,Consumer,1,175.66,175.66,111.6,64.06,0.3647
2023-04-17,Europe,United Kingdom,Electronics,Phones,Consumer,1,453.66,453.66,337.46,116.2,0.2561
2022-05-26,Europe,France,Clothing,Pants,Home Office,2,364.44,728.88,548.81,180.07,0.2471
2024-08-26,Europe,Spain,Clothing,Pants,Consumer,1,332.9,332.9,180.34,152.56,0.4583
2024-04-21,Latin America,Brazil,Electronics,Phones,Corporate,3,402.29,1206.87,535.5,671.37,0.5563
2023-01-28,Europe,Italy,Clothing,Pants,Corporate,2,146.49,292.98,146.47,146.51,0.5001
2022-06-04,Latin America,Brazil,Electronics,Phones,Consumer,2,91.49,182.98,108.74,74.24,0.4057
2023-03-14,Latin America,Brazil,Furniture,Desks,Consumer,4,139.95,559.8,399.49,160.31,0.2864
2024-07-20,Asia Pacific,India,Clothing,Pants,Consumer,3,116.67,350.01,148.19,201.82,0.5766
2022-05-05,Asia Pacific,China,Electronics,Accessories,Home Office,5,87.14,435.7,341.72,93.98,0.2157
2022-06-14,Europe,United Kingdom,Electronics,Computers,Corporate,1,471.38,471.38,295.97,175.41,0.3721
2022-03-23,North America,Canada,Office Supplies,Binders,Consumer,3,126.96,380.88,212.65,168.23,0.4417
2023-09-07,Latin America,Chile,Electronics,Phones,Corporate,5,499.24,2496.2,1993.06,503.14,0.2016
2022-05-31,Europe,Italy,Office Supplies,Pens,Corporate,1,440.84,440.84,241.5,199.34,0.4522
2022-11-20,Latin America,Chile,Electronics,Audio,Home Office,1,470.08,470.08,213.28,256.8,0.5463
2022-08-25,North America,Mexico,Furniture,Storage,Corporate,5,113.21,566.05,304.05,262.0,0.4629
2023-06-25,Latin America,Chile,Electronics,Phones,Home Office,4,416.38,1665.52,695.58,969.94,0.5824
2023-11-15,Europe,France,Furniture,Desks,Home Office,4,284.84,1139.36,506.73,632.63,0.5553
2022-11-02,North America,Canada,Furniture,Desks,Consumer,1,161.05,161.05,122.33,38.72,0.2404
2022-03-23,Asia Pacific,Japan,Furniture,Chairs,Corporate,5,443.23,2216.15,1246.7,969.45,0.4374
2022-11-13,Europe,Germany,Furniture,Desks,Consumer,2,370.92,741.84,395.31,346.53,0.4671
2024-04-23,Europe,France,Furniture,Chairs,Corporate,1,430.71,430.71,210.61,220.1,0.511
2024-07-31,Asia Pacific,Australia,Furniture,Tables,Consumer,2,205.25,410.5,209.95,200.55,0.4886
2022-05-23,Asia Pacific,Australia,Clothing,Outerwear,Consumer,1,439.75,439.75,221.85,217.9,0.4955
2023-06-28,North America,United States,Clothing,Outerwear,Home Office,3,223.83,671.49,532.96,138.53,0.2063
2022-08-25,Latin America,Argentina,Office Supplies,Paper,Home Office,4,10.83,43.32,33.37,9.95,0.2297
2023-02-08,Asia Pacific,India,Electronics,Audio,Home Office,3,335.06,1005.18,452.18,553.0,0.5502
2023-09-08,Asia Pacific,India,Office Supplies,Labels,Home Office,3,281.66,844.98,402.83,442.15,0.5233
2024-02-16,Europe,Italy,Office Supplies,Labels,Home Office,1,158.9,158.9,76.92,81.98,0.5159
2023-10-22,Latin America,Colombia,Clothing,Pants,Home Office,4,398.93,1595.72,1250.94,344.78,0.2161
2022-12-14,North America,Canada,Office Supplies,Paper,Consumer,3,120.07,360.21,172.78,187.43,0.5203
2022-02-20,North America,United States,Clothing,Shirts,Corporate,4,444.21,1776.84,1119.89,656.95,0.3697
2024-02-26,Latin America,Colombia,Furniture,Tables,Home Office,1,447.4,447.4,332.94,114.46,0.2558
2022-08-07,Latin America,Argentina,Furniture,Desks,Consumer,5,132.11,660.55,488.37,172.18,0.2607
2024-07-23,Europe,Spain,Office Supplies,Labels,Home Office,5,219.1,1095.5,835.58,259.92,0.2373
2024-07-02,Europe,Spain,Clothing,Outerwear,Consumer,3,385.25,1155.75,703.3,452.45,0.3915
2023-05-05,Asia Pacific,India,Electronics,Audio,Consumer,3,174.57,523.71,396.56,127.15,0.2428
2022-06-15,Europe,Germany,Furniture,Desks,Home Office,2,356.15,712.3,303.22,409.08,0.5743
2024-04-14,Asia Pacific,South Korea,Clothing,Shoes,Consumer,2,418.12,836.24,464.77,371.47,0.4442
2022-02-10,Latin America,Colombia,Electronics,Audio,Corporate,4,428.19,1712.76,1338.3,374.46,0.2186
2024-05-08,Europe,Spain,Furniture,Storage,Corporate,4,24.22,96.88,51.78,45.1,0.4655
2024-04-08,Europe,Spain,Furniture,Chairs,Corporate,5,286.55,1432.75,588.63,844.12,0.5892
2024-05-27,Europe,Spain,Furniture,Chairs,Corporate,4,170.4,681.6,396.61,284.99,0.4181
2023-11-23,Latin America,Chile,Clothing,Outerwear,Consumer,4,19.5,78.0,48.03,29.97,0.3842
2023-12-18,Europe,United Kingdom,Electronics,Phones,Consumer,2,421.22,842.44,546.35,296.09,0.3515
2023-05-04,Europe,Spain,Electronics,Computers,Corporate,3,385.78,1157.34,540.61,616.73,0.5329
2022-08-23,Europe,France,Electronics,Phones,Corporate,5,341.9,1709.5,1339.0,370.5,0.2167
2024-03-23,Europe,United Kingdom,Furniture,Chairs,Home Office,3,426.64,1279.92,819.36,460.56,0.3598
2022-09-05,North America,Canada,Clothing,Outerwear,Consumer,5,327.3,1636.5,662.88,973.62,0.5949
2024-05-10,Latin America,Brazil,Clothing,Outerwear,Home Office,4,356.58,1426.32,818.99,607.33,0.4258
2024-12-04,Asia Pacific,South Korea,Clothing,Shoes,Corporate,5,141.51,707.55,524.07,183.48,0.2593
2022-06-27,Asia Pacific,India,Furniture,Desks,Home Office,5,337.41,1687.05,901.83,785.22,0.4654
2024-10-09,Asia Pacific,Japan,Clothing,Pants,Corporate,3,176.77,530.31,398.86,131.45,0.2479
2023-07-20,North America,Mexico,Furniture,Chairs,Consumer,4,249.4,997.6,701.58,296.02,0.2967
2024-09-02,Latin America,Colombia,Electronics,Phones,Corporate,2,208.16,416.32,207.05,209.27,0.5027
2024-01-26,Latin America,Chile,Clothing,Outerwear,Corporate,4,142.75,571.0,285.82,285.18,0.4994
2022-09-05,Europe,France,Electronics,Computers,Consumer,2,371.92,743.84,379.8,364.04,0.4894
2024-12-10,Asia Pacific,China,Furniture,Storage,Consumer,3,97.93,293.79,119.18,174.61,0.5943
2024-12-29,Europe,France,Electronics,Phones,Home Office,3,351.73,1055.19,475.38,579.81,0.5495
2024-10-02,North America,United States,Office Supplies,Labels,Corporate,4,176.95,707.8,556.47,151.33,0.2138
2023-06-02,Latin America,Brazil,Electronics,Accessories,Corporate,1,292.74,292.74,197.48,95.26,0.3254
2022-11-07,Europe,Italy,Office Supplies,Paper,Consumer,1,283.46,283.46,160.57,122.89,0.4335
2023-04-08,Latin America,Colombia,Clothing,Outerwear,Home Office,4,159.64,638.56,414.05,224.51,0.3516
2022-07-23,Europe,Germany,Office Supplies,Paper,Consumer,2,95.17,190.34,81.85,108.49,0.57
2022-01-06,Latin America,Colombia,Clothing,Outerwear,Consumer,2,151.17,302.34,155.13,147.21,0.4869
2024-07-18,North America,Mexico,Furniture,Storage,Home Office,5,333.98,1669.9,1291.61,378.29,0.2265
2024-05-20,North America,Mexico,Furniture,Tables,Corporate,2,44.99,89.98,41.96,48.02,0.5337
